EIS ID,Title,Title Link,Document,EPA Comment Letter Date,Federal Register Date,Agency,State,Document Link,Comment Due Date,Contact Name,Contact Number
20180098,Starry Goat,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249842,Final,,5/21/18,Forest Service,MT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249842,6/21/18,Lisa Osborn,406-295-7426
20180097,Travel Management - Rico West Dolores Roads and Trails Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249791,Final,,5/21/18,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249791,6/21/18,Deborah Kill,970-882-6822
20180096,Palen Solar Project (formerly Palen Solar Power Project) Final Supplemental Environmental Impact Statement/ Environmental Impact Report/ Land Use Plan Amendment,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249696,Final Supplement,,5/21/18,Bureau of Land Management,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249696,6/21/18,Mark DeMaio,760-833-7124
20180095,Final Environmental Impact Statement/Environmental Impact Report for the South Sacramento Habitat Conservation Plan,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249582,Final,,5/21/18,Fish and Wildlife Service,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249582,6/21/18,Nina Bicknese,916-414-6633
20180094,Supplement to the Final EIS for Invasive Plant Control Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249649,Final Supplement,,5/11/18,Forest Service,NM,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249649,6/11/18,Sandra Imler-Jacquez,505-438-5443
20180093,Santa Fe National Forest Geothermal Leasing Final Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249641,Final,,5/11/18,Forest Service,NM,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249641,6/11/18,Larry Gore,575-289-3264
20180092,Luna Restoration Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249503,Draft,,5/11/18,Forest Service,Multi,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249503,6/25/18,Emily Irwin,575-773-4678
20180091,Draft Environment Impact Statement for the Blue Valley Ranch Land Exchange,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249492,Draft,,5/11/18,Bureau of Land Management,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249492,6/25/18,Annie Sperandio,970-724-3062
20180090,Amendment 8 to the Atlantic Herring Fishery Management Plan,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249449,Draft,,5/11/18,National Marine Fisheries Service,Multi,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249449,6/25/18,Carrie Nordeen,978-281-9272
20180089,Mather Specific Plan Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249415,Final,,5/11/18,U.S. Army Corps of Engineers,CA,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249415,6/11/18,Mary Pakenham-Walsh,916-557-7718
20180088,U.S. Highway 85_I-94 Interchange to Watford City Bypass (McKenzie County Road 30),https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249400,Draft,,5/11/18,Federal Highway Administration,ND,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249400,6/25/18,Kevin Brodie,701-221-9467
20180087,"Southern Gardens Citrus Nursery, LLC Permit to Release Genetically Engineered Citrus tristeza virus Draft Environmental Impact Statement",https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249392,Draft,,5/11/18,Department of Agriculture,NAT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249392,6/25/18,Dr. Sidney Abel,301-851-3896
20180086,Final Environmental Impact Statement for Glade Rangeland Management,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249341,Final,,5/11/18,Forest Service,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249341,6/11/18,Deborah Kill,970 882-6822
20180085,Nevada and Northeastern California Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249039,Draft,,5/4/18,Bureau of Land Management,Multi,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249039,8/2/18,Matt Magaletti,775-861-6472
20180084,Northwest Colorado Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249029,Draft,,5/4/18,Bureau of Land Management,CO,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249029,8/2/18,Bridget Clayton,970-244-3045
20180083,Idaho Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249034,Draft,,5/4/18,Bureau of Land Management,ID,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249034,8/2/18,Jonathan Beck,208-373-3841
20180082,Oregon Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249045,Draft,,5/4/18,Bureau of Land Management,OR,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249045,8/2/18,Jim Regan-Vienop,503-808-6062
20180081,Utah Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249060,Draft,,5/4/18,Bureau of Land Management,UT,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249060,8/2/18,Quincy Bahr,801-539-4122
20180080,Wyoming Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249065,Draft,,5/4/18,Bureau of Land Management,WY,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249065,8/2/18,Jennifer Fleuret,307-775-6329
20180079,Prince of Wales Landscape Level Analysis Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249177,Draft,,5/4/18,Forest Service,AK,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249177,6/18/18,Delilah Brigham,907-828-3232